epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.001000	0.002807	48.999275	37.008050	
2.000000	0.001000	0.001028	45.182027	34.950451	
3.000000	0.000900	0.000836	41.709997	31.715404	
4.000000	0.000900	0.000754	47.331353	34.103289	
5.000000	0.000810	0.000684	40.933181	31.298076	
6.000000	0.000810	0.000649	39.953810	31.417644	
7.000000	0.000729	0.000604	40.134914	30.755666	
8.000000	0.000729	0.000579	40.463098	30.853335	
9.000000	0.000656	0.000548	42.377924	32.073145	
10.000000	0.000656	0.000534	39.005860	30.352669	
